Place ID,Place Name,Place Category
1,Flourish & Blotts,Diagon Alley
2,Gringotts Wizarding Bank,Diagon Alley
3,Knockturn Alley,Diagon Alley
4,Ollivanders,Diagon Alley
5,The Leaky Cauldron,Diagon Alley
6,Weasleys' Wizard Wheezes,Diagon Alley
7,12 Grimmauld Place,Dwellings
8,4 Privet Drive,Dwellings
9,Godric's Hollow,Dwellings
10,Hut-on-the-Rock,Dwellings
11,Little Whinging,Dwellings
12,Lovegood House,Dwellings
13,Malfoy Manor,Dwellings
14,Riddle House,Dwellings
15,Shell Cottage,Dwellings
16,Spinner's End,Dwellings
17,The Burrow,Dwellings
18,Budleigh Babberton,Dwellings
19,Honeydukes,Hogsmeade
20,Shrieking Shack,Hogsmeade
21,The Hog's Head,Hogsmeade
22,The Three Broomsticks,Hogsmeade
23,Astronomy Tower,Hogwarts
24,Boathouse,Hogwarts
25,Chamber of Secrets,Hogwarts
26,Charms Classroom,Hogwarts
27,Clocktower Courtyard,Hogwarts
28,Corridors,Hogwarts
29,Covered Bridge,Hogwarts
30,Defense Against the Dark Arts Classroom,Hogwarts
31,Detention Room,Hogwarts
32,Divination Classroom,Hogwarts
33,Entrance Hall,Hogwarts
34,First-Floor Girls' Toilets,Hogwarts
35,Forbidden Forest,Hogwarts
36,Great Hall,Hogwarts
37,Great Lake,Hogwarts
38,Greenhouse,Hogwarts
39,Griffindor Common Room,Hogwarts
40,Hagrid's Hut,Hogwarts
41,Headmaster's Office,Hogwarts
42,Hogwarts Express,Hogwarts
43,Hospital Wing,Hogwarts
44,Library,Hogwarts
45,Middle Courtyard,Hogwarts
46,Moaning Myrtle's Bathroom,Hogwarts
47,Owlery,Hogwarts
48,Pensieve,Hogwarts
49,Potions Classroom,Hogwarts
50,Prefect's Bathroom,Hogwarts
51,Quidditch Pitch,Hogwarts
52,Quidditch Training Pitch,Hogwarts
53,Ravenclaw Tower,Hogwarts
54,Restricted Section,Hogwarts
55,Room of Requirement,Hogwarts
56,Sixth-floor boys' bathroom,Hogwarts
57,Slytherin Common Room,Hogwarts
58,The Quad,Hogwarts
59,Third-floor Corridor,Hogwarts
60,Tom Riddle's Diary,Hogwarts
61,Transfiguration Classroom,Hogwarts
62,Triwizard Maze,Hogwarts
63,Trophy Room,Hogwarts
64,Underground Chambers,Hogwarts
65,Unknown Classroom,Hogwarts
66,Viaduct Courtyard,Hogwarts
67,Whomping Willow,Hogwarts
68,Forest of Dean,Other Magical Locations
69,Knight Bus,Other Magical Locations
70,Ministry of Magic,Other Magical Locations
71,Platform Nine and Three-Quarters,Other Magical Locations
72,Quidditch World Cup,Other Magical Locations
73,The Cave,Other Magical Locations
74,Unknown,Other Magical Locations
